"dep"|"slug"|"rec"|"rec_url"
"STPS"|"stps"|"Porcentaje de ocupados informales respecto a la población ocupada total. Incluye: i) los ocupados que laboran en unidades económicas no registradas (sector informal); ii) los trabajadores del servicio doméstico remunerado sin seguridad social; iii) los ocupados por cuenta propia en la agricultura de subsistencia; iv) los trabajadores no remunerados; v) los trabajadores subordinados y remunerados cuyos servicios son utilizados por unidades formales pero laboran sin seguridad social (trimestral)."|"http://datosabiertos.stps.gob.mx/Datos/DIL/clave/Tasa_de_Informalidad_Laboral_1.csv"
"STPS"|"stps"|"Porcentaje de ocupados que laboran en unidades no registradas del ámbito no agropecuario. población ocupada que trabaja para unidades económicas no agropecuarias que operan a partir de los recursos del hogar y sin estar legalmente registradas, de tal forma que los ingresos, materiales y equipos que se utilizan para el negocio no son independientes y distinguibles de los del propio hogar - sector informal ( trimestral)."|"http://datosabiertos.stps.gob.mx/Datos/DIL/clave/Tasa_de_Ocupacion_en_el_Sector_Informal_2.csv"
"STPS"|"stps"|"Serie estadística que mide el peso relativo de la población asalariada con ingresos inferiores (menor o igual a tres salarios mínimos reales) a la media de los trabajadores (trimestral)."|"http://datosabiertos.stps.gob.mx/Datos/DIL/clave/Porcentaje_de_Asalariados_que_Ganan_hasta_tres_Salarios_Minimos.csv"
"STPS"|"stps"|"Serie estadística que mide el corte en el cual se encuentra la mediana del ingreso mensual del total de los ocupados, el ingreso laboral que perciben (trimestral)."|"http://datosabiertos.stps.gob.mx/Datos/DIL/clave/Mediana_del_Ingreso_Mensual_Real_de_los_Ocupados.csv"
"STPS"|"stps"|"Serie estadística que mide la evolución de la producción en comparación con la variación de los recursos laborales utilizados en el proceso productivo de forma trimestral."|"http://datosabiertos.stps.gob.mx/bp/Datos/DIL/clave/Indice_Global_de_Productividad_Laboral_de_la_Economia.csv"
"imt"|"imt"|"Tabla de proyectos estratégicos de TIC concluídos por Inciativas del PETIC"|"http://nube.imt.mx/index.php/s/QWCTiQjjJg5jThK"
"imt"|"imt"|"Inventario Institucional de Datos de IMT"|"https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1122/inventario_general_de_datos_IMT_20151130.xlsx"
"imt"|"imt"|"Plan de Apertura Institucional de IMT"|"http://adela.datos.gob.mx/plan-de-apertura/imt/export.csv"
"imt"|"imt"|"Listado de las publicaciones editados por el IMT desde 1988 a la fecha."|"http://nube.imt.mx/index.php/s/OHXdJ9lmJiiRRXC"
"Presidencia"|"presidencia"|"Consolidado de los Planes de Apertura"|"https://drive.google.com/uc?export=download&id=0Bw1YBQEbBwzDam5DaVNlQXV2dnc"
"Presidencia"|"presidencia"|"Histórico de los analíticos de datos.gob.mx al 1 de octubre de 2015"|"https://drive.google.com/uc?export=download&id=0Bw1YBQEbBwzDc1NkUzl0bE8wMW8"
"Presidencia"|"presidencia"|"Consolidado de los Inventarios de Datos"|"https://drive.google.com/uc?export=download&id=0Bw1YBQEbBwzDc2tHeEk1WGh4c2c"
"HGGEA"|"hggea"|"Tabla de resultados de la encuesta de satisfacción de los usuarios de Consulta Externa"|"http://www.hospitalgea.salud.gob.mx/media/305937/EncuestaTratoDigno.zip"
"imt"|"imt"|"Conjunto de gráficas de las estadísticas mensuales de la aviación comercial mexicana a partir de noviembre 2014."|"http://nube.imt.mx/index.php/s/oIzECOXmOIH6RfK"
"CIMAV"|"cimav"|"Inventario Institucional de Datos de CIMAV"|"https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1118/Inventario_CIMAV__1_.xlsx"
"CIMAV"|"cimav"|"Programa, En Curso, Graduado, Fechas Inicio y Termino"|"http://datos.cimav.edu.mx/estudiantes-de-programas-de-posgrado.zip"
"CIMAV"|"cimav"|"Fecha, Contaminante, Nivel"|"http://datos.cimav.edu.mx/calidad-de-aire-en-la-ciudad-de-chihuahua.zip"
"CIMAV"|"cimav"|"Plan de Apertura Institucional de CIMAV"|"http://adela.datos.gob.mx/plan-de-apertura/cimav/export.csv"
"INEA"|"inea"|"Mapa Virtual"|"http://www.inea.gob.mx/images/documentos/datos/Directorio_Plazas_Comunitarias_Extranjero.xlsx"
"INEA"|"inea"|"Módulos Básicos, Diversificados y Alternativos"|"http://www.inea.gob.mx/images/documentos/datos/Modulos_del_MEVYT.xlsx"
"PRODECON"|"prodecon"|"Resumen de representación legal y defensa"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/representacion_legal_y_defensa/Representacion_Legal_y_Defensa_Por_Tipo_de_Promovente.csv"
"PRODECON"|"prodecon"|"Resumen de quejas y reclamaciones"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/quejas_y_reclamaciones/QUEJAS_Y_RECLAMACIONES_POR_MEDIO_DE_PRESENTACION.csv"
"PRODECON"|"prodecon"|"Resumen de quejas y reclamaciones"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/quejas_y_reclamaciones/QUEJAS_Y_RECLAMACIONES_POR_AUTORIDAD_FISCAL.csv"
"PRODECON"|"prodecon"|"General"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/orientacion_y_asesoria/Datos_Orientacion_y_Asesoria.csv"
"PRODECON"|"prodecon"|"Comparativo de Oficinas Centrales"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/orientacion_y_asesoria/Orientacion_y_Asesoria_Comparativo_mes_anio_de_atenciones.csv"
"PRODECON"|"prodecon"|"Resumen de representación legal y defensa"|"http://www.prodecon.gob.mx/datosAbiertos/CSV/representacion_legal_y_defensa/Representacion_Legal_y_Defensa_Por_Autoridad_Fiscal.csv"
